gid_1,cgfr_10
THA.4_1,0.5708
THA.54_1,0.5539
THA.56_1,0.5494
THA.5_1,0.524
THA.66_1,0.5415
THA.68_1,0.5103
THA.72_1,0.5359
THA.73_1,0.5628
THA.74_1,0.5714
THA.75_1,0.5374
THA.76_1,0.462
THA.77_1,0.5485
THA.7_1,0.5502
THA.9_1,0.5372
TJK.2_1,0.3946
TJK.3_1,0.2212
TJK.4_1,0.2055
TJK.5_1,0.2291
TKM.3_1,0.3336
TKM.4_1,0.5164
TKM.5_1,0.3416
TKM.6_1,0.4644
TON.4_1,0.5762
TUN.10_1,0.308
TUN.11_1,0.3767
TUN.12_1,0.3685
TUN.14_1,0.3721
TUN.15_1,0.4039
TUN.16_1,0.406
TUN.19_1,0.3792
TUN.1_1,0.4066
TUN.20_1,0.4174
TUN.21_1,0.3173
TUN.22_1,0.3513
TUN.23_1,0.4309
TUN.24_1,0.3678
TUN.3_1,0.4138
TUN.4_1,0.3651
TUN.5_1,0.3537
TUN.6_1,0.368
TUN.7_1,0.3564
TUN.8_1,0.3927
TUN.9_1,0.3578
TUR.10_1,0.293
TUR.11_1,0.2844
TUR.12_1,0.2703
TUR.13_1,0.2685
TUR.14_1,0.1317
TUR.15_1,0.1363
TUR.16_1,0.2247
TUR.17_1,0.119
TUR.18_1,0.1108
TUR.19_1,0.2475
TUR.1_1,0.2443
TUR.20_1,0.2316
TUR.21_1,0.247
TUR.22_1,0.2829
TUR.24_1,0.2228
TUR.25_1,0.2757
TUR.26_1,0.127
TUR.27_1,0.2661
TUR.28_1,0.2986
TUR.29_1,0.15310000000000001
TUR.2_1,0.1476
TUR.30_1,0.1906
TUR.31_1,0.1372
TUR.32_1,0.279
TUR.33_1,0.1706
TUR.34_1,0.2779
TUR.35_1,0.1681
TUR.36_1,0.1591
TUR.37_1,0.2603
TUR.38_1,0.1779
TUR.39_1,0.246
TUR.40_1,0.2645
TUR.43_1,0.2683
TUR.44_1,0.2267
TUR.45_1,0.19
TUR.46_1,0.2037
TUR.47_1,0.2082
TUR.48_1,0.152
TUR.50_1,0.3059
TUR.52_1,0.261
TUR.53_1,0.1588
TUR.54_1,0.1776
TUR.55_1,0.1841
TUR.56_1,0.2535
TUR.57_1,0.1391
TUR.58_1,0.2682
TUR.5_1,0.1688
TUR.61_1,0.189
TUR.63_1,0.3
TUR.64_1,0.2341
TUR.65_1,0.2578
TUR.66_1,0.2401
TUR.67_1,0.2592
TUR.68_1,0.083
TUR.69_1,0.1183
TUR.6_1,0.2513
TUR.70_1,0.2702
TUR.72_1,0.1828
TUR.73_1,0.2881
TUR.74_1,0.2021
TUR.75_1,0.2466
TUR.76_1,0.2488
TUR.78_1,0.1256
TUR.79_1,0.2654
TUR.7_1,0.2799
TUR.80_1,0.1669
TUR.81_1,0.2595
TUR.9_1,0.2022
UGA.10_1,0.5789
UGA.11_1,0.6138
UGA.12_1,0.5757
UGA.16_1,0.6542
UGA.17_1,0.6422
UGA.18_1,0.6258
UGA.19_1,0.5299
UGA.1_1,0.5627
UGA.20_1,0.6531
UGA.21_1,0.6254
UGA.25_1,0.5954
UGA.27_1,0.5813
UGA.29_1,0.574
UGA.2_1,0.5789
UGA.30_1,0.5948
UGA.34_1,0.6916
UGA.35_1,0.6549
UGA.36_1,0.6138
UGA.37_1,0.5662
UGA.38_1,0.763
UGA.39_1,0.7488
UGA.3_1,0.5599
UGA.42_1,0.6456
UGA.43_1,0.6501
UGA.44_1,0.6155
UGA.46_1,0.6255
UGA.48_1,0.549
UGA.4_1,0.6225
UGA.50_1,0.7005
UGA.51_1,0.6329
UGA.52_1,0.5883
UGA.54_1,0.8939
UGA.55_1,0.5624
UGA.56_1,0.6379
UGA.57_1,0.6121
UGA.58_1,0.5062
UGA.5_1,0.6738
UGA.6_1,0.6109
UGA.7_1,0.6337
UGA.8_1,0.5841
UGA.9_1,0.626
UKR.12_1,0.5392
UKR.13_1,0.5498
UKR.16_1,0.538
UKR.17_1,0.5477
UKR.18_1,0.5261
UKR.19_1,0.5455
UKR.1_1,0.5453
UKR.21_1,0.5269
UKR.23_1,0.5496
UKR.24_1,0.5486
UKR.25_1,0.5468
UKR.26_1,0.5456
UKR.27_1,0.5537
UKR.2_1,0.5262
UKR.3_1,0.5395
UKR.8_1,0.5282
UKR.9_1,0.5502
UZB.11_1,0.3011
UZB.12_1,0.3454
UZB.14_1,0.2967
UZB.1_1,0.2928
UZB.5_1,0.3597
UZB.6_1,0.3648
UZB.7_1,0.2974
UZB.8_1,0.3323
UZB.9_1,0.3033
VEN.11_1,0.7779
VEN.12_1,0.719
VEN.13_1,0.7818
VEN.14_1,0.7429
VEN.15_1,0.7533
VEN.16_1,0.774
VEN.17_1,0.7708
VEN.18_1,0.7419
VEN.19_1,0.7632
VEN.1_1,0.7676
VEN.20_1,0.7485
VEN.21_1,0.7425
VEN.22_1,0.7542
VEN.24_1,0.7583
VEN.25_1,0.7726
VEN.2_1,0.7669
VEN.3_1,0.7932
VEN.4_1,0.7748
VEN.5_1,0.7745
VEN.6_1,0.7907
VEN.7_1,0.7664
VEN.8_1,0.7668
VEN.9_1,0.762
VNM.10_1,0.5033
VNM.11_1,0.4957
VNM.12_1,0.5436
VNM.13_1,0.582
VNM.14_1,0.4054
VNM.15_1,0.4761
VNM.16_1,0.4946
VNM.17_1,0.5214
VNM.18_1,0.5511
VNM.1_1,0.551
VNM.20_1,0.5126
VNM.21_1,0.4739
VNM.22_1,0.4896
VNM.23_1,0.482
VNM.24_1,0.5948
VNM.25_1,0.5327
VNM.26_1,0.4743
VNM.28_1,0.4864
VNM.29_1,0.5339
VNM.2_1,0.5706
VNM.30_1,0.4569
VNM.31_1,0.4759
VNM.32_1,0.5027
VNM.33_1,0.5587
VNM.34_1,0.4717
VNM.35_1,0.419
VNM.36_1,0.4843
VNM.37_1,0.4972
VNM.38_1,0.4989
VNM.39_1,0.519
VNM.3_1,0.4577
VNM.40_1,0.4957
VNM.41_1,0.5179
VNM.42_1,0.4901
VNM.43_1,0.4896
VNM.44_1,0.5119
VNM.45_1,0.4818
VNM.46_1,0.5128
VNM.47_1,0.4617
VNM.48_1,0.466
VNM.49_1,0.4841
VNM.4_1,0.4499
VNM.50_1,0.4804
VNM.51_1,0.5566
VNM.52_1,0.4663
VNM.53_1,0.5305
VNM.54_1,0.4847
VNM.55_1,0.5052
VNM.56_1,0.4774
VNM.57_1,0.4905
VNM.58_1,0.5147
VNM.59_1,0.5477
VNM.5_1,0.4603
VNM.60_1,0.4798
VNM.61_1,0.5569
VNM.62_1,0.4585
VNM.63_1,0.5166
VNM.6_1,0.5383
VNM.7_1,0.5192
VNM.8_1,0.4789
VNM.9_1,0.5399
VUT.3_1,0.5874
VUT.4_1,0.5708
ZAF.1_1,0.6109
ZAF.2_1,0.6123
ZAF.3_1,0.6287
ZAF.4_1,0.6147
ZAF.5_1,0.6277
ZAF.6_1,0.6163
ZAF.7_1,0.6147
ZAF.8_1,0.5991
ZAF.9_1,0.6032
ZMB.10_1,0.563
ZMB.1_1,0.5656
ZMB.2_1,0.5521
ZMB.3_1,0.5689
ZMB.4_1,0.5679
ZMB.5_1,0.5472
ZMB.6_1,0.5626
ZMB.7_1,0.5783
ZMB.8_1,0.5516
ZMB.9_1,0.573
ZWE.10_1,0.6153
ZWE.1_1,0.6045
ZWE.2_1,0.5797
ZWE.3_1,0.5892
ZWE.4_1,0.5814
ZWE.5_1,0.595
ZWE.6_1,0.59
ZWE.7_1,0.6224
ZWE.8_1,0.5961
ZWE.9_1,0.6036
ARG.14_1,0.6507
ARG.20_1,0.5821
ARG.3_1,0.6745
ARG.4_1,0.5658
AZE.10_1,0.2524
BFA.10_1,0.4065
BFA.11_1,0.3581
BFA.12_1,0.4007
BFA.13_1,0.4244
BFA.1_1,0.4927
BFA.2_1,0.474
BFA.3_1,0.473
BFA.4_1,0.383
BFA.5_1,0.4256
BFA.6_1,0.3949
BFA.7_1,0.406
BFA.8_1,0.4532
BFA.9_1,0.4073
BIH.1_1,0.4288
BIH.2_1,0.3985
BIH.3_1,0.4292
BTN.9_1,0.536
BWA.2_1,0.6528
BWA.4_1,0.6465
CAF.11_1,0.4947
CAF.12_1,0.5141
CAF.7_1,0.5401
CMR.10_1,0.7206
CMR.4_1,0.4844
CMR.8_1,0.6703
COD.10_1,0.5672
COD.11_1,0.613
COD.13_1,0.5091
COD.14_1,0.5219
COD.15_1,0.5222
COD.16_1,0.5718
COD.17_1,0.4813
COD.18_1,0.5289
COD.19_1,0.5447
COD.1_1,0.5926
COD.20_1,0.5027
COD.22_1,0.5116
COD.23_1,0.5665
COD.24_1,0.5103
COD.25_1,0.5875
COD.2_1,0.5532
COD.3_1,0.5392
COD.4_1,0.4279
COD.5_1,0.6151
COD.6_1,0.5349
COD.7_1,0.4924
COD.8_1,0.4783
COD.9_1,0.4809
COM.1_1,0.5311
COM.2_1,0.5474
CPV.12_1,0.5844
CPV.15_1,0.573
CPV.16_1,0.6037
CPV.18_1,0.542
CPV.19_1,0.6123
CPV.21_1,0.5822
CPV.4_1,0.5755
CPV.5_1,0.6243
CPV.6_1,0.659
CPV.7_1,0.603
CPV.8_1,0.6753
CPV.9_1,0.6884
DOM.12_1,0.7423
DOM.30_1,0.6763
DZA.12_1,0.2165
DZA.26_1,0.1716
DZA.31_1,0.2059
DZA.45_1,0.2416
DZA.4_1,0.2626
EGY.11_1,0.2707
EGY.13_1,0.1605
EGY.14_1,0.2579
EGY.15_1,0.2821
EGY.16_1,0.2654
EGY.19_1,0.1958
EGY.1_1,0.2986
EGY.20_1,0.2479
EGY.21_1,0.296
EGY.22_1,0.2343
EGY.25_1,0.1496
EGY.26_1,0.2428
EGY.27_1,0.1688
EGY.2_1,0.2278
EGY.3_1,0.2295
EGY.4_1,0.181
EGY.6_1,0.2682
EGY.7_1,0.2756
EGY.8_1,0.2602
ERI.2_1,0.4691
ETH.5_1,0.5368
FSM.1_1,0.6344
FSM.2_1,0.6116
FSM.3_1,0.6284
FSM.4_1,0.6059
GMB.3_1,0.4582
GMB.6_1,0.5391
GTM.21_1,0.6835
HTI.10_1,0.8175
HTI.2_1,0.8326
HTI.3_1,0.7775
HTI.7_1,0.6889
HTI.8_1,0.8316
IDN.10_1,0.4493
IDN.12_1,0.473
IDN.13_1,0.4607
IDN.16_1,0.4806
IDN.18_1,0.4967
IDN.22_1,0.5268
IDN.26_1,0.5112
IDN.28_1,0.5127
KAZ.14_1,0.4401
KAZ.3_1,0.4069
KEN.10_1,0.7068
KEN.11_1,0.71
KEN.12_1,0.7356
KEN.13_1,0.7681
KEN.14_1,0.6324
KEN.15_1,0.7756
KEN.16_1,0.745
KEN.17_1,0.6932
KEN.18_1,0.7965
KEN.19_1,0.6268
KEN.1_1,0.7245
KEN.20_1,0.7652
KEN.21_1,0.7111
KEN.22_1,0.7586
KEN.23_1,0.765
KEN.24_1,0.5329
KEN.25_1,0.5623
KEN.26_1,0.7364
KEN.27_1,0.7568
KEN.28_1,0.6633
KEN.29_1,0.7404
KEN.2_1,0.7372
KEN.31_1,0.7437
KEN.32_1,0.7169
KEN.33_1,0.7305
KEN.34_1,0.7194
KEN.35_1,0.7151
KEN.36_1,0.7593
KEN.37_1,0.649
KEN.38_1,0.7145
KEN.39_1,0.7028
KEN.3_1,0.7127
KEN.40_1,0.6136
KEN.41_1,0.7957
KEN.42_1,0.7083
KEN.43_1,0.5704
KEN.44_1,0.7324
KEN.45_1,0.6964
KEN.46_1,0.5354
KEN.47_1,0.7076
KEN.4_1,0.6886
KEN.5_1,0.781
KEN.6_1,0.7742
KEN.7_1,0.6969
KEN.8_1,0.7121
KEN.9_1,0.6954
KGZ.3_1,0.3801
KGZ.6_1,0.309
KGZ.9_1,0.4289
KHM.11_1,0.5942
KHM.13_1,0.6285
KHM.14_1,0.6063
KHM.15_1,0.6261
KHM.17_1,0.609
KHM.21_1,0.5686
KHM.24_1,0.5853
KHM.7_1,0.586
KHM.8_1,0.6076
LAO.15_1,0.525
LAO.16_1,0.5673
LAO.17_1,0.4749
LBY.13_1,0.147
LBY.19_1,0.1364
LBY.21_1,0.1587
LBY.6_1,0.1088
LBY.8_1,0.1042
LCA.10_1,0.6683
LCA.1_1,0.6193
LCA.3_1,0.6801
LCA.5_1,0.6318
LCA.6_1,0.6558
LCA.7_1,0.5843
LKA.10_1,0.4581
LKA.11_1,0.4377
LKA.12_1,0.4545
LKA.13_1,0.4855
LKA.14_1,0.4633
LKA.15_1,0.4737
LKA.16_1,0.4741
LKA.17_1,0.4513
LKA.18_1,0.4975
LKA.19_1,0.5143
LKA.1_1,0.3437
LKA.20_1,0.4672
LKA.21_1,0.4801
LKA.22_1,0.4714
LKA.23_1,0.5015
LKA.24_1,0.3879
LKA.25_1,0.468
LKA.2_1,0.5052
LKA.3_1,0.4686
LKA.4_1,0.3254
LKA.5_1,0.5111
LKA.6_1,0.4541
LKA.7_1,0.4831
LKA.8_1,0.4911
LKA.9_1,0.4565
LSO.6_1,0.6555
LSO.8_1,0.6863
MDA.16_1,0.5263
MDA.25_1,0.5578
MDA.28_1,0.5572
MDA.4_1,0.498
MDA.7_1,0.5304
MDA.9_1,0.5287
MDG.1_1,0.6758
MDG.4_1,0.6812
MDG.6_1,0.6729
MEX.6_1,0.661
MLI.9_1,0.3395
MMR.10_1,0.6214
MMR.11_1,0.6017
MMR.12_1,0.5829
MMR.13_1,0.61240000000000006
MMR.14_1,0.6648
MMR.15_1,0.6098
MMR.1_1,0.6286
MMR.2_1,0.6307
MMR.3_1,0.662
MMR.4_1,0.5828
MMR.5_1,0.7032
MMR.6_1,0.6593
MMR.7_1,0.5935
MMR.8_1,0.6298
MMR.9_1,0.6091
MNE.10_1,0.4705
MNE.11_1,0.4522
MNE.12_1,0.4456
MNG.12_1,0.6394
MNG.13_1,0.6537
MNG.14_1,0.6263
MNG.16_1,0.5759
MNG.19_1,0.6316
MNG.9_1,0.6205
MOZ.5_1,0.5662
MOZ.8_1,0.4703
MUS.10_1,0.597
MUS.2_1,0.577
NAM.10_1,0.6135
NAM.11_1,0.6548
NAM.12_1,0.6384
NAM.13_1,0.5457
NAM.1_1,0.6023
NAM.2_1,0.6408
NAM.3_1,0.6361
NAM.4_1,0.5424
NAM.5_1,0.609
NAM.6_1,0.6395
NAM.7_1,0.6392
NAM.8_1,0.6494
NAM.9_1,0.6339
NIC.1_1,0.741
NIC.2_1,0.7292
NPL.1_1,0.502
NPL.2_1,0.5381
NPL.3_1,0.5234
NPL.4_1,0.5434
NPL.5_1,0.5074
PER.15_1,0.6983
PHL.10_1,0.5885
PHL.11_1,0.6102
PHL.12_1,0.5881
PHL.13_1,0.5749
PHL.14_1,0.6044
PHL.15_1,0.5766
PHL.16_1,0.6223
PHL.17_1,0.5907
PHL.19_1,0.61240000000000006
PHL.1_1,0.587
PHL.20_1,0.6075
PHL.21_1,0.5796
PHL.22_1,0.623
PHL.23_1,0.5915
PHL.24_1,0.5947
PHL.25_1,0.5956
PHL.26_1,0.616
PHL.27_1,0.6118
PHL.28_1,0.616
PHL.29_1,0.6128
PHL.2_1,0.5939
PHL.30_1,0.6295
PHL.31_1,0.6022
PHL.32_1,0.6263
PHL.33_1,0.5649
PHL.34_1,0.5844
PHL.35_1,0.5688
PHL.36_1,0.6011
PHL.37_1,0.5924
PHL.38_1,0.5553
PHL.39_1,0.5806
PHL.3_1,0.6306
PHL.40_1,0.6009
PHL.41_1,0.6073
PHL.42_1,0.5828
PHL.43_1,0.6015
PHL.44_1,0.5843
PHL.45_1,0.6022
PHL.46_1,0.6388
PHL.48_1,0.6086
PHL.49_1,0.5928
PHL.4_1,0.606
PHL.50_1,0.549
PHL.51_1,0.6127
PHL.52_1,0.612
PHL.53_1,0.6284
PHL.54_1,0.6246
PHL.55_1,0.5908
PHL.56_1,0.5846
PHL.57_1,0.6182
PHL.58_1,0.6128
PHL.59_1,0.5959
PHL.5_1,0.5993
PHL.60_1,0.5973
PHL.61_1,0.5937
PHL.62_1,0.6107
PHL.63_1,0.5861
PHL.64_1,0.59
PHL.65_1,0.6007
PHL.66_1,0.6189
PHL.67_1,0.6306
PHL.68_1,0.5941
PHL.69_1,0.596
PHL.6_1,0.6047
PHL.70_1,0.6013
PHL.71_1,0.5815
PHL.72_1,0.6316
PHL.73_1,0.5974
PHL.74_1,0.5989
PHL.75_1,0.6096
PHL.76_1,0.592
PHL.77_1,0.6101
PHL.78_1,0.5936
PHL.79_1,0.6325
PHL.7_1,0.6165
PHL.80_1,0.6097
PHL.81_1,0.6389
PHL.8_1,0.5968
PHL.9_1,0.617
RWA.1_1,0.7148
RWA.2_1,0.7722
RWA.3_1,0.7473
RWA.4_1,0.7186
SOM.10_1,0.5782
SRB.10_1,0.4882
SRB.11_1,0.4234
SRB.12_1,0.4744
SRB.13_1,0.4707
SRB.14_1,0.4666
SRB.15_1,0.4725
SRB.16_1,0.3978
SRB.17_1,0.4923
SRB.18_1,0.4905
SRB.19_1,0.481
SRB.1_1,0.461
SRB.20_1,0.4725
SRB.21_1,0.4852
SRB.22_1,0.4618
SRB.23_1,0.4725
SRB.24_1,0.4779
SRB.25_1,0.4351
SRB.2_1,0.4683
SRB.3_1,0.5192
SRB.4_1,0.4664
SRB.5_1,0.4822
SRB.6_1,0.4803
SRB.7_1,0.4763
SRB.8_1,0.4585
SRB.9_1,0.4714
SSD.10_1,0.6576
SSD.2_1,0.4444
SSD.3_1,0.3693
SSD.4_1,0.4272
SSD.5_1,0.447
SSD.6_1,0.4731
SSD.9_1,0.4327
TCD.22_1,0.3209
THA.13_1,0.5557
THA.14_1,0.5622
THA.15_1,0.5528
THA.16_1,0.5396
THA.17_1,0.5404
THA.24_1,0.5513
THA.25_1,0.5302
THA.2_1,0.5413
THA.37_1,0.5317
THA.39_1,0.5481
THA.40_1,0.5317
THA.41_1,0.5336
THA.42_1,0.5483
THA.43_1,0.5187
THA.44_1,0.5599
THA.46_1,0.5233
THA.47_1,0.5438
THA.50_1,0.5436
THA.51_1,0.5622
THA.52_1,0.5234
THA.53_1,0.5255
THA.55_1,0.5381
THA.57_1,0.5322
THA.58_1,0.5472
THA.59_1,0.5514
THA.60_1,0.5234
THA.61_1,0.4986
THA.62_1,0.5285
THA.63_1,0.5397
THA.64_1,0.5005
THA.65_1,0.5482
THA.67_1,0.5418
THA.69_1,0.536
THA.6_1,0.534
THA.70_1,0.5318
THA.71_1,0.5424
THA.8_1,0.5513
TJK.1_1,0.2423
TKM.2_1,0.5186
TLS.7_1,0.6095
TON.5_1,0.5855
TUN.13_1,0.3757
TUN.17_1,0.4307
TUN.18_1,0.3605
TUN.2_1,0.3977
TUR.23_1,0.1995
TUR.3_1,0.1684
TUR.41_1,0.3196
TUR.42_1,0.1646
TUR.49_1,0.2215
TUR.4_1,0.1056
TUR.51_1,0.2158
TUR.59_1,0.3137
TUR.60_1,0.0879
TUR.62_1,0.1829
TUR.71_1,0.1047
TUR.77_1,0.2685
TUR.8_1,0.2688
TZA.10_1,0.5359
TZA.11_1,0.6582
TZA.12_1,0.6185
TZA.13_1,0.5936
TZA.14_1,0.5908
TZA.15_1,0.5528
TZA.16_1,0.593
TZA.17_1,0.697
TZA.18_1,0.538
TZA.19_1,0.5263
TZA.1_1,0.6314
TZA.20_1,0.6016
TZA.21_1,0.5665
TZA.22_1,0.6169
TZA.23_1,0.5982
TZA.24_1,0.5572
TZA.25_1,0.6262
TZA.26_1,0.5839
TZA.27_1,0.6076
TZA.28_1,0.5431
TZA.29_1,0.7063
TZA.2_1,0.6002
TZA.30_1,0.5827
TZA.3_1,0.6233
TZA.4_1,0.5876
TZA.5_1,0.6228
TZA.6_1,0.6698
TZA.7_1,0.5996
TZA.8_1,0.5206
TZA.9_1,0.6207
UKR.10_1,0.5458
UKR.11_1,0.5354
UKR.14_1,0.5434
UKR.15_1,0.5444
UKR.20_1,0.5109
UKR.22_1,0.5623
UKR.4_1,0.5491
UKR.5_1,0.5202
UKR.6_1,0.5156
UKR.7_1,0.5431
UZB.10_1,0.2673
UZB.13_1,0.2975
UZB.2_1,0.298
UZB.3_1,0.3713
UZB.4_1,0.3544
VCT.1_1,0.7535
VCT.2_1,0.7435
VCT.3_1,0.7494
VCT.4_1,0.7131
VCT.5_1,0.7665
VCT.6_1,0.7606
VEN.23_1,0.7409
VNM.19_1,0.5011
VNM.27_1,0.4928
WSM.1_1,0.6394
WSM.9_1,0.6543
COL.10_2,0.728
COL.11_2,0.7284
COL.12_2,0.7127
COL.13_2,0.6728
COL.14_2,0.7313
COL.15_2,0.7452
COL.16_2,0.6877
COL.20_2,0.7014
COL.26_2,0.7395
COL.2_2,0.7148
COL.30_2,0.7199
COL.32_2,0.7015
COL.3_2,0.736
COL.4_2,0.6959
COL.5_2,0.7632
COL.6_2,0.6846
COL.7_2,0.7296
COL.8_2,0.7014
COL.9_2,0.7333
GHA16_2,0.5368
GHA3_2,0.5441
GHA4_2,0.467
GHA11_2,0.4202
GHA8_2,0.4082
GHA10_2,0.61240000000000006
