gid_1,cgfr_10
BTN.11_1,0.5427
BTN.12_1,0.5684
BTN.13_1,0.5779
BTN.14_1,0.5758
BTN.15_1,0.5999
BTN.16_1,0.5475
BTN.17_1,0.573
BTN.18_1,0.5566
BTN.19_1,0.5594
BTN.1_1,0.5053
BTN.20_1,0.5426
BTN.2_1,0.5718
BTN.3_1,0.5754
BTN.4_1,0.5249
BTN.5_1,0.5276
BTN.6_1,0.585
BTN.7_1,0.5602
BTN.8_1,0.5446
BWA.11_1,0.6903
BWA.12_1,0.632
BWA.14_1,0.6285
BWA.15_1,0.6796
BWA.1_1,0.6754
BWA.5_1,0.6132
BWA.7_1,0.6114
BWA.8_1,0.6482
BWA.9_1,0.6517
CIV.10_1,0.4845
CIV.11_1,0.5457
CIV.12_1,0.5054
CIV.13_1,0.551
CIV.14_1,0.5614
CIV.1_1,0.5091
CIV.2_1,0.5229
CIV.3_1,0.5484
CIV.4_1,0.4807
CIV.5_1,0.566
CIV.6_1,0.6281
CIV.7_1,0.6102
CIV.8_1,0.5543
CIV.9_1,0.5352
CMR.1_1,0.4679
CMR.2_1,0.6754
CMR.3_1,0.6456
CMR.5_1,0.681
CMR.6_1,0.6779
CMR.7_1,0.527
CMR.9_1,0.7749
COG.11_1,0.5415
COG.12_1,0.4713
COG.1_1,0.5129
COG.5_1,0.5355
COG.8_1,0.5292
COL.17_2,0.7327
COL.18_2,0.7039
COL.19_2,0.7309
COL.1_2,0.7439
COL.21_2,0.723
COL.22_2,0.6953
COL.23_2,0.7092
COL.24_2,0.7008
COL.25_2,0.7223
COL.28_2,0.7112
COL.29_2,0.7083
COL.31_2,0.7197
CPV.10_1,0.5945
CPV.11_1,0.6193
CPV.1_1,0.6477
CPV.20_1,0.6609
CPV.22_1,0.6463
CPV.3_1,0.5876
CRI.1_1,0.7048
CRI.2_1,0.7183
CRI.3_1,0.6938
CRI.4_1,0.7061
CRI.5_1,0.7219
CRI.6_1,0.7003
CRI.7_1,0.7149
DJI.3_1,0.5725
DOM.10_1,0.6127
DOM.11_1,0.6736
DOM.13_1,0.6554
DOM.14_1,0.6753
DOM.15_1,0.6655
DOM.16_1,0.6725
DOM.17_1,0.6767
DOM.18_1,0.686
DOM.19_1,0.6804
DOM.1_1,0.7065
DOM.20_1,0.6666
DOM.21_1,0.666
DOM.22_1,0.6518
DOM.23_1,0.6808
DOM.24_1,0.6763
DOM.25_1,0.6925
DOM.26_1,0.7147
DOM.27_1,0.67
DOM.28_1,0.6794
DOM.29_1,0.6955
DOM.2_1,0.6269
DOM.31_1,0.6864
DOM.32_1,0.673
DOM.3_1,0.652
DOM.4_1,0.6724
DOM.5_1,0.692
DOM.6_1,0.6771
DOM.7_1,0.6602
DOM.8_1,0.648
DOM.9_1,0.6743
DZA.10_1,0.2403
DZA.11_1,0.1789
DZA.13_1,0.2195
DZA.14_1,0.2173
DZA.15_1,0.2384
DZA.16_1,0.1706
DZA.17_1,0.1851
DZA.18_1,0.192
DZA.19_1,0.2369
DZA.1_1,0.172
DZA.20_1,0.1889
DZA.21_1,0.2249
DZA.22_1,0.1933
DZA.23_1,0.1929
DZA.24_1,0.1945
DZA.25_1,0.1847
DZA.27_1,0.2224
DZA.28_1,0.1858
DZA.29_1,0.1887
DZA.2_1,0.2234
DZA.30_1,0.2381
DZA.32_1,0.2806
DZA.33_1,0.1979
DZA.34_1,0.1969
DZA.35_1,0.2291
DZA.36_1,0.2084
DZA.37_1,0.1834
DZA.38_1,0.2458
DZA.39_1,0.1957
DZA.3_1,0.2527
DZA.40_1,0.227
DZA.41_1,0.2305
DZA.42_1,0.2037
DZA.43_1,0.203
DZA.44_1,0.2745
DZA.46_1,0.1937
DZA.47_1,0.2678
DZA.48_1,0.2449
DZA.5_1,0.2565
DZA.6_1,0.1896
DZA.7_1,0.2273
DZA.8_1,0.2484
DZA.9_1,0.2
ECU.10_1,0.7385
ECU.11_1,0.7166
ECU.12_1,0.6951
ECU.13_1,0.73
ECU.14_1,0.7229
ECU.15_1,0.6573
ECU.16_1,0.7318
ECU.17_1,0.7414
ECU.18_1,0.6885
ECU.19_1,0.7647
ECU.1_1,0.7126
ECU.20_1,0.7254
ECU.21_1,0.7503
ECU.22_1,0.7318
ECU.23_1,0.7356
ECU.24_1,0.6788
ECU.2_1,0.7561
ECU.3_1,0.7035
ECU.4_1,0.7254
ECU.5_1,0.759
ECU.6_1,0.7535
ECU.7_1,0.6909
ECU.8_1,0.7343
ECU.9_1,0.7346
EGY.10_1,0.1879
EGY.12_1,0.2521
EGY.17_1,0.1629
EGY.18_1,0.1977
EGY.23_1,0.2378
EGY.24_1,0.133
EGY.5_1,0.2686
EGY.9_1,0.2328
ERI.1_1,0.5312
ERI.4_1,0.3307
ERI.6_1,0.3742
ETH.10_1,0.5672
ETH.11_1,0.6271
ETH.1_1,0.6186
ETH.2_1,0.5818
ETH.3_1,0.6637
ETH.4_1,0.6526
ETH.6_1,0.5454
ETH.7_1,0.5015
ETH.8_1,0.5893
ETH.9_1,0.5764
GAB.1_1,0.5788
GAB.2_1,0.6047
GAB.3_1,0.6365
GAB.4_1,0.6383
GAB.5_1,0.6447
GAB.6_1,0.5925
GAB.7_1,0.6356
GAB.8_1,0.5949
GAB.9_1,0.5914
GEO.10_1,0.4659
GEO.11_1,0.5449
GEO.12_1,0.5203
GEO.1_1,0.5277
GEO.2_1,0.548
GEO.3_1,0.5863
GEO.4_1,0.5581
GEO.5_1,0.517
GEO.6_1,0.5121
GEO.7_1,0.5384
GEO.8_1,0.5587
GEO.9_1,0.5829
GHA12_2,0.4387
GHA13_2,0.3618
GHA14_2,0.6412
GHA15_2,0.5894
GHA1_2,0.6195
GHA2_2,0.5587
GHA5_2,0.6048
GHA6_2,0.6368
GHA7_2,0.6274
GHA9_2,0.3183
GIN.1_1,0.4981
GIN.2_1,0.486
GIN.3_1,0.4416
GIN.4_1,0.4173
GIN.5_1,0.508
GIN.6_1,0.5122
GIN.7_1,0.4793
GIN.8_1,0.465
GMB.1_1,0.5657
GMB.4_1,0.625
GMB.5_1,0.658
