fb_18_999_men,fb_18_999_wom,fb_18_999_r,hdi,gdi,gdp_pcap,years_from_2015,gggi_ggi,coef_ineq,mys_r,lfpr_r,internet_men,internet_wom,internet_ggi,iso3
0.3593241006036987,0.2424212864622672,0.6748164326831958,0.591,0.905,8.006515633687929,0,0.746,40.188032,0.6208728192457159,0.9561156601842375,0.373536453,0.174995255,0.468482402,AGO
0.7997355037817421,0.7043024489054638,0.8812746085944309,0.786,1.026,8.856240894959207,0,0.721,8.126163833,0.998265570948878,0.8741648106904231,0.889741768,0.853495754,0.959262322,ARM
0.213973603926888,0.11775568413523456,0.5502242465853632,0.42,0.926,5.556924703361628,1,0.763,34.69569633,0.648454576535022,0.9857178968655206,0.138240628,0.044357696,0.320873076,BDI
0.4168213106308117,0.2459418319699358,0.5894378539842228,0.504,0.848,7.172310246721377,2,0.715,38.465223,0.4680258037375657,0.7609144542772862,0.203209613,0.063499106,0.312480818,BEN
0.4168213106308117,0.2459418319699358,0.5894378539842228,0.504,0.848,7.172310246721377,6,0.715,38.465223,0.4680258037375657,0.7609144542772862,0.315641075,0.154869266,0.490649912,BEN
0.39829014592792267,0.1656227043374525,0.4158971346811519,0.438,0.881,6.721470459186562,6,0.762,39.98645733,0.5286701422330046,0.6721991701244813,0.393793458,0.151753718,0.385363737,BFA
0.11542875320911222,0.04864084929336215,0.4213564940114863,0.387,0.9107083333333332,6.056920060648228,3,0.75867187509375,38.55927967,0.4906939719446554,0.7503474515192045,0.052649006,0.026307214,0.49967162,CAF
0.5664284583265821,0.3602896058758538,0.6358515062167921,0.534,0.861,7.818596064440582,6,0.739,39.985821,0.5638185683953575,0.765763235500632,0.521951953,0.298975091,0.57280194,CIV
0.4395168368248285,0.31034696034665465,0.7059866147487925,0.587,0.9,7.354675103000155,3,0.783,37.340977,0.7454585542384403,0.8697123519458544,0.399551073,0.270196682,0.676250672,CMR
0.18421567767131897,0.10517120608651076,0.5709740189084872,0.481,0.891,6.482581560501064,2,0.714,34.11745233,0.663357440677475,0.9041735723971672,0.17734539,0.077666748,0.437940612,COD
0.6307527021624214,0.4433708668450691,0.702625822038972,0.586,0.914,7.303097634473355,7,0.752,41.88651433,0.7147743889610495,0.6930075821398484,0.588033097,0.417541806,0.710065145,COM
NA,NA,NA,0.764,0.973,9.159002076997174,4,0.745999992,20.035261214,1.020128207440724,0.6612672701286327,0.368857814,0.423207693,1.147346422,CUB
0.1591053963350716,0.07523053243432369,0.472772657715312,0.492,0.922,6.93496755455396,1,0.879,33.71017267,0.5229310180593506,0.7272727272727273,0.121200689,0.044186956,0.364576775,ETH
0.9473391128204628,0.8832121561619842,0.9324889082872476,0.729,0.94,8.586003400141362,6,0.74,13.228288,1.0123440174363445,0.4794749710461974,0.819290016,0.785706686,0.959009228,FJI
0.6313778059051177,0.5036217990603528,0.7975730322723552,0.693,0.982,9.084816528837688,4,0.75867187509375,23.95382667,1.1977011494252874,0.617725573945542,0.755876122,0.625257908,0.827196269,GAB
0.49104744316692406,0.33725251118471117,0.6864813332059857,0.602,0.933,7.697829030010144,7,0.777,36.18397433,0.7293493323859566,0.9863144929519638,0.615658251,0.433244201,0.703708916,GHA
0.49104744316692406,0.33725251118471117,0.6864813332059857,0.602,0.933,7.697829030010144,2,0.777,36.18397433,0.7293493323859566,0.9863144929519638,0.385981668,0.161180417,0.417585681,GHA
0.4412358397000151,0.2921826299413674,0.6614385449191761,0.471,0.818,7.323281568564989,3,0.719,38.88611,0.4070445427990852,0.666168782673637,0.321945403,0.153575175,0.477022421,GIN
0.4442514570324303,0.21107580166146375,0.4751503723450885,0.495,0.94,6.694906407023374,4,0.745,36.36762167,0.6568756403518966,0.9152963077877756,0.73290631,0.618169252,0.843449215,GMB
0.4442514570324303,0.21107580166146375,0.4751503723450885,0.495,0.94,6.694906407023374,3,0.745,36.36762167,0.6568756403518966,0.9152963077877756,0.655027617,0.432906069,0.66089743,GMB
0.3578875238949943,0.21454379195487183,0.5994316091813354,0.483,0.862,6.653932090864688,3,0.75867187509375,35.52366333,0.4879186967429041,0.7881125226860254,0.342412869,0.124630084,0.363976052,GNB
1.0093626168014682,0.9669363183613712,0.9582185810226616,0.742,0.992,9.80914801770352,4,0.752,17.726409686,1.0204061698176914,0.7083177219932559,0.748730715,0.696847673,0.930705338,GUY
0.4118704926744495,0.35856887676012694,0.8701115600928202,0.552,0.929,7.466374646083734,1,0.7600588229411764,38.31365733,0.8108862033987606,0.7401061410159212,0.41207449,0.27834781199999997,0.675479357,HTI
0.7433335727359008,0.5268823297508244,0.7090866317565182,0.713,0.94,8.473867922149866,2,0.793,17.295351,0.9208739409671192,0.6445672191528545,0.425269339,0.481896568,1.133156154,IDN
0.5767412343912988,0.2119614362677353,0.367347012419414,0.644,0.852,7.787750432059016,4,0.733,30.52559,0.7250878372189344,0.3711583924349882,0.545491108,0.31329835,0.574341808,IND
0.8538127420889858,0.7250699712788209,0.8492947054319867,0.736,0.863,8.368925185417513,2,0.735,16.28175793,0.9293439926177924,0.2274748805798056,0.86675594,0.76456603,0.88210071,JOR
0.5343123793661504,0.3987620324037015,0.7463659961190151,0.601,0.948,7.649360157974715,7,0.856,26.48972967,0.8521695930849155,0.8659410305869386,0.561969146,0.441888734,0.786322056,KEN
1.319431680383768,1.0074971187129738,0.7632093652671806,0.6,0.926,7.47284634902316,6,0.788,26.39622233,0.705371871979013,0.8591237473782336,0.763619786,0.636779189,0.833895612,KHM
