gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male,fb_pntr_18p_fm_ratio
AGO.1_1,Angola,0.149311321400035,0.488955574440183,0.591,0.877,0.877,0.527,0.602,-0.262348729282489,-0.29110093745859816,0.0050532150568923,0.0135699215689649,0.433528495566686
AGO.2_1,Angola,0.0845051884731249,0.263640185967662,0.591,0.877,0.879,0.501,0.57,-0.2565483908609837,-0.2580022090189743,0.0291215250391134,0.0499007489259082,0.773022275699822
AGO.3_1,Angola,0.0255614762142035,0.17670154884418,0.591,0.877,0.867,0.465,0.536,-0.2680657284510242,-0.28614743946717575,0.014284225394647,0.0276082457777501,0.688257978503808
AGO.4_1,Angola,0.23341805066741,0.646027906535626,0.591,0.877,0.921,0.64,0.695,-0.19768092506368504,-0.2094379045117583,0.0575386071598619,0.0793744300691842,0.799798390504387
AGO.5_1,Angola,0.0314817520400827,0.18674973904557,0.591,0.877,0.834,0.452,0.542,-0.2687352186486199,-0.2994053760352931,0.0106247296981644,0.0258605709060065,0.602817368752416
AGO.6_1,Angola,0.062457397337927,0.312592328248052,0.591,0.877,0.848,0.488,0.575,-0.2632122037672185,-0.28516547620304683,0.0140879773398744,0.0325804240654853,0.565744900674732
AGO.7_1,Angola,0.0588792018118332,0.386164180802849,0.591,0.877,0.817,0.4,0.49,-0.26448148041328656,-0.27353239234696813,0.00627118354668,0.0119174472032288,0.629539930900537
AGO.8_1,Angola,0.0650951766368823,0.501799093951629,0.591,0.877,0.941,0.501,0.533,-0.26628152669383476,-0.29036185813973897,0.007081111698613,0.0137371494565644,0.796716981889903
AGO.9_1,Angola,0.115888924145407,0.404863781424427,0.591,0.877,0.885,0.498,0.563,-0.2616904943353449,-0.2533222685328207,0.0256447987452214,0.0507888613766505,0.676545427545307
AGO.10_1,Angola,0.0831650526361955,0.461871985074935,0.591,0.877,0.887,0.491,0.554,-0.2629529345015456,-0.27447304077155127,0.0294139989643979,0.0529661918677018,0.717063448530306
AGO.11_1,Angola,0.320111526306584,0.573758210953895,0.591,0.877,0.924,0.671,0.726,1.4464966624822502,2.293131738009796,0.108675185839601,0.168121790215991,0.757351583886896
AGO.12_1,Angola,0.0622829724181588,0.260307932310964,0.591,0.877,0.817,0.465,0.569,-0.2680994268500598,-0.2950774857262035,0.0072008860542477,0.0202900331187595,0.425437252891411
AGO.13_1,Angola,0.06126858409903049,0.229512225413372,0.591,0.877,0.853,0.523,0.613,-0.2670744212152724,-0.29586698243809467,0.0240702153689697,0.057974616845893,0.558830884147695
AGO.14_1,Angola,0.109684376278357,0.30854158133247,0.591,0.877,0.85,0.515,0.606,-0.2665860688131434,-0.291449000047945,0.0129977007560911,0.0304411816506357,0.549538941669202
AGO.15_1,Angola,0.0590677510403039,0.318002848306108,0.591,0.877,0.878,0.471,0.536,-0.26900523943670024,-0.2981553238744495,0.0138985121709091,0.0270632359267027,0.594021359499568
AGO.16_1,Angola,0.189031952507294,0.435099195265411,0.591,0.877,0.918,0.562,0.612,-0.2661591064161511,-0.2942767804911959,0.0346228222835046,0.0553609225712638,0.795868227352739
AGO.17_1,Angola,0.05249653668269229,0.246303241559602,0.591,0.877,0.852,0.502,0.589,-0.26654684352473673,-0.2832120044834547,0.0113898016120168,0.0241764392781223,0.597796664278856
AGO.18_1,Angola,0.107134658072751,0.345340795289287,0.591,0.877,0.881,0.561,0.637,-0.2630171108735909,-0.28767308822274407,0.0177558328338852,0.0377416945057835,0.565403173086243
ARM.1_1,Armenia,0.755819162467555,0.980740627576303,0.769,0.984,0.971,0.732,0.753,-0.2606963666907447,-0.26268676882591196,0.357990274128221,0.374158735351932,1.02996929970657
ARM.2_1,Armenia,0.76743114517545,0.991175269215534,0.769,0.984,0.976,0.73,0.748,-0.22126519029140457,-0.1985364016165912,0.268218890765792,0.257343962307261,1.13730162560767
ARM.3_1,Armenia,0.7152272912432839,0.936029687399457,0.769,0.984,0.989,0.728,0.736,-0.18340152953381053,-0.09818206231640558,0.200009256469204,0.191548633363126,1.15282423552486
ARM.4_1,Armenia,0.9502903088193152,0.99829963481783,0.769,0.984,0.987,0.792,0.802,1.3319167043101132,2.7741568333530515,0.691671422807608,0.789612048911399,1.09360761175436
ARM.5_1,Armenia,0.825615533351682,0.889605182217893,0.769,0.984,0.975,0.719,0.737,-0.26318544153533513,-0.26594564056150843,0.262563075482564,0.286902988890779,0.933021913333414
ARM.6_1,Armenia,0.838404914413582,0.891550931084584,0.769,0.984,0.993,0.764,0.769,-0.2053941910822285,-0.2091746090417423,0.496211537726155,0.486118495789623,1.13161951693602
ARM.7_1,Armenia,0.835662006108214,0.941929877247723,0.769,0.984,0.996,0.742,0.745,-0.25406644277939155,-0.2516758147036934,0.479801648946384,0.470604255140792,1.22382436532836
ARM.8_1,Armenia,0.850382774860977,0.865626067956636,0.769,0.984,0.984,0.751,0.764,-0.2562096515160494,-0.23530578402275357,0.360311311840186,0.349171691397733,1.17894914007096
ARM.9_1,Armenia,0.914442689450497,1.01802906634894,0.769,0.984,0.99,0.752,0.759,-0.2580687994810848,-0.2791543437114857,0.395132725650657,0.361315539418216,1.16910260430642
ARM.10_1,Armenia,0.757266339823953,0.839835114270168,0.769,0.984,0.986,0.743,0.753,-0.2586576903141539,-0.26281115844510644,0.352462106015486,0.344582303462685,1.15595084117832
ARM.11_1,Armenia,0.879434945993258,1.16653155219389,0.769,0.984,0.981,0.748,0.762,-0.2650469987723246,-0.2844304496424178,0.377410195563904,0.365751049377574,1.11397469041365
BDI.1_1,Burundi,0.028754825713254,0.336977840181002,0.423,0.925,0.932,0.457,0.491,-0.2640848888888746,0.0190539212252941,0.0074453908436077,0.0226190812455118,0.288690322515682
BDI.2_1,Burundi,0.334716173038999,0.722715644805496,0.423,0.925,0.932,0.457,0.491,0.22327401259147872,2.8080573318727526,0.391823246968379,0.623281456327087,0.436579528111924
BDI.3_1,Burundi,0.0267085413212822,0.200083450589595,0.423,0.925,0.932,0.457,0.491,-0.2576281793408123,0.08210229342446888,0.0100354894627447,0.0263335426794474,0.368261965804078
BDI.4_1,Burundi,0.0408765731279451,0.236017018221609,0.423,0.925,0.943,0.452,0.479,-0.26626830632607856,-0.09445546115771004,0.0069176742247699,0.0196028797750588,0.363120344775714
BDI.5_1,Burundi,0.01170235348213529,0.159042326600288,0.423,0.925,0.921,0.397,0.43,-0.2688204397185607,-0.16656164374430818,0.0098344586740279,0.0292570776125013,0.345540751928325
BDI.6_1,Burundi,0.0146752147211116,0.102115961407704,0.423,0.925,0.932,0.457,0.491,-0.26456576045281527,-0.00179337384176761,0.0053628187424745,0.0197012347316587,0.270463171335214
BDI.7_1,Burundi,0.0405002351171197,0.263614522664083,0.423,0.925,0.944,0.421,0.446,-0.26121687321686565,0.07417773607511512,0.0127841621099349,0.0353190887128539,0.399412875183562
BDI.8_1,Burundi,0.0051072437133776,0.342754322627134,0.423,0.925,0.944,0.421,0.446,-0.2682205362692094,5.665232704325958e-4,0.0042466112438474,0.0129800790706176,0.35911316291204
BDI.9_1,Burundi,0.0160979967022015,0.163588976433822,0.423,0.925,0.92,0.366,0.398,-0.2668040700789414,0.2466985262885614,0.0075975565251226,0.0215726954902194,0.382535599063127
BDI.10_1,Burundi,0.0160251932914763,0.296811047189782,0.423,0.925,0.92,0.366,0.398,-0.26763854999988707,0.07363934602067088,0.0075459685234128,0.0215433670054613,0.373922286241982
BDI.11_1,Burundi,0.0177551085771317,0.139942991805547,0.423,0.925,0.943,0.452,0.479,-0.26776165179915545,-0.1265565137204966,0.0065469158377509,0.0214833608692395,0.29951905645711
BDI.12_1,Burundi,0.0152514445967419,0.164882936698038,0.423,0.925,0.944,0.421,0.446,-0.2666894066815364,0.13072609577163763,0.0087392188363568,0.026487024966497,0.370892375525693
BDI.13_1,Burundi,0.0103636358431037,0.148156419053521,0.423,0.925,0.92,0.366,0.398,-0.26580580355873157,0.1142764451485604,0.0076065224717762,0.0231695849711342,0.342661196647373
BDI.14_1,Burundi,0.0146686454743567,0.204430564638017,0.423,0.925,0.944,0.421,0.446,-0.26879632017514105,0.03354295812216026,0.0075826369471138,0.0219579235903067,0.403348810794068
BDI.15_1,Burundi,0.0173111238420739,0.149759993326528,0.423,0.925,0.92,0.366,0.398,-0.26088745882734915,0.16489569929429007,0.0109543395290967,0.0297820920911235,0.37752210922347
BDI.16_1,Burundi,0.0155119908111527,0.144414758713349,0.423,0.925,0.921,0.397,0.43,-0.2675692218825976,-0.09034030793701264,0.0072470325705357,0.0247467059010988,0.306755694074428
BDI.17_1,Burundi,0.0125623514452998,0.113950165675577,0.423,0.925,0.921,0.397,0.43,-0.2682014167941963,-0.10037468143624212,0.0052198583776788,0.0170853885348538,0.314814310914865
BEN.1_1,Benin,0.0167273287735229,0.229079441704868,0.505,0.849,0.87,0.411,0.473,-0.26796384687535496,-0.26757391008004167,0.0091701005687714,0.0374586488720398,0.257732038144981
BEN.2_1,Benin,0.0406513062501116,0.387427946002529,0.505,0.849,0.855,0.442,0.517,-0.2672890136051087,-0.26208740985687706,0.0098148450059218,0.0411234967052847,0.274244887212406
BEN.3_1,Benin,0.118637954886604,0.387466554734727,0.505,0.849,0.889,0.587,0.661,-0.15445967710881164,0.12911948974390944,0.0283133085583013,0.0864962531408021,0.360606572661045
BEN.4_1,Benin,0.05044595604368,0.398122032598686,0.505,0.849,0.87,0.411,0.473,-0.2634456179357924,-0.25256214855144626,0.0276425891600407,0.102638945314945,0.277801236018868
BEN.5_1,Benin,0.025721910083056,0.13135137732865,0.505,0.849,0.857,0.494,0.577,-0.2657161322123425,-0.2529634954852915,0.0182709238862714,0.065358242165436,0.320145160293248
BEN.6_1,Benin,0.0279435909017107,0.176241454911033,0.505,0.849,0.855,0.442,0.517,-0.26495352370248926,-0.25301830713442514,0.0138682855992549,0.0618409115706686,0.251301774058884
BEN.7_1,Benin,0.0164380436610777,0.109613659757094,0.505,0.849,0.844,0.482,0.571,-0.25717363965620993,-0.00794253101389381,0.0045632117446007,0.0167912000563522,0.379683334092824
